question,prob
dems_win_PRES,0.337
dems_win_SENATE,0.17
dems_win_HOUSE,0.5
dems_win_POPULAR_VOTE,0.576
dems_win_PRES_AK,0.046
dems_win_PRES_AZ,0.26
dems_win_PRES_FL,0.07
dems_win_PRES_GA,0.27
dems_win_PRES_IA,0.05
dems_win_PRES_ME,0.86
dems_win_PRES_MI,0.46
dems_win_PRES_MN,0.88
dems_win_PRES_NE2,0.86
dems_win_PRES_NV,0.33
dems_win_PRES_NH,0.8
dems_win_PRES_NM,0.89
dems_win_PRES_NC,0.3
dems_win_PRES_OH,0.04
dems_win_PRES_PA,0.39
dems_win_PRES_TX,0.07
dems_win_PRES_VA,0.82
dems_win_PRES_WI,0.42
dems_win_SENATE_AZ,0.79
dems_win_SENATE_FL,0.08
dems_win_SENATE_MD,0.9
dems_win_SENATE_MI,0.68
dems_win_SENATE_MT,0.18
dems_win_SENATE_NV,0.75
dems_win_SENATE_NM,0.93
dems_win_SENATE_OH,0.39
dems_win_SENATE_PA,0.68
dems_win_SENATE_TX,0.21
dems_win_SENATE_WI,0.64
dems_win_GOV_MT,0.02
dems_win_GOV_NH,0.46
dems_win_GOV_VT,0.014
dems_win_HOUSE_AK01,0.445
dems_win_HOUSE_AZ01,0.395
dems_win_HOUSE_AZ06,0.38
dems_win_HOUSE_CA13,0.61
dems_win_HOUSE_CA22,0.5
dems_win_HOUSE_CA41,0.325
dems_win_HOUSE_IA01,0.39
dems_win_HOUSE_IA03,0.2
dems_win_HOUSE_NY04,0.635
dems_win_HOUSE_NY17,0.34
dems_win_HOUSE_NY19,0.56
dems_win_HOUSE_OR05,0.54
dems_win_HOUSE_PA10,0.4
dems_win_HOUSE_WA03,0.565
